iter	Passed	Remaining
0	0	92
1	1	88
2	2	83
3	3	79
4	4	81
5	5	79
6	6	80
7	6	78
8	7	76
9	8	74
10	9	73
11	9	72
12	10	71
13	11	71
14	12	70
15	13	69
16	14	68
17	15	69
18	16	71
19	17	70
20	18	69
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	58
32	29	58
33	29	58
34	30	57
35	31	56
36	32	55
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	48
45	40	47
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
